,Belgium,Chile,Denmark,Germany,Israel,Italy,Mexico,Romania,United Kingdom,United States
0,0.0,0.0,0.0,0.0,113975.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,113260.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,109343.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,94069.0,0.0,0.0,0.0,56766.0,0.0
4,0.0,0.0,0.0,0.0,78002.0,0.0,0.0,0.0,182220.0,0.0
5,0.0,0.0,0.0,0.0,68452.0,0.0,0.0,0.0,179880.0,0.0
6,0.0,147.0,0.0,0.0,69102.0,0.0,0.0,0.0,185810.0,0.0
7,0.0,1135.0,0.0,0.0,70280.0,0.0,0.0,0.0,201020.0,0.0
8,0.0,1625.0,0.0,71090.0,70278.0,0.0,0.0,0.0,220981.0,0.0
9,0.0,1638.0,7093.0,75704.0,71833.0,0.0,0.0,0.0,244311.0,0.0
10,0.0,1638.0,7481.0,75692.0,87387.0,76736.0,0.0,0.0,260958.0,0.0
11,0.0,3215.0,7828.0,77301.0,108651.0,71352.0,49987.0,13699.0,262404.0,747082.0
12,14593.0,5975.0,8594.0,78534.0,130079.0,64321.0,55493.0,15721.0,268518.0,798707.0
13,15119.0,7158.0,9181.0,80404.0,145841.0,55268.0,55835.0,18514.0,286118.0,911493.0
14,15115.0,6607.0,7849.0,84653.0,161196.0,47044.0,57924.0,22017.0,297294.0,892403.0
15,16085.0,6176.0,5846.0,84061.0,167109.0,38147.0,57892.0,27690.0,310246.0,913912.0
16,16963.0,6163.0,4575.0,87289.0,172442.0,34419.0,44066.0,28895.0,329466.0,975540.0
17,17400.0,6163.0,5055.0,92366.0,180454.0,34008.0,31765.0,31828.0,357218.0,1057387.0
18,17199.0,4788.0,5614.0,95461.0,184762.0,37662.0,28205.0,34586.0,361321.0,1122182.0
19,17235.0,2116.0,5141.0,98762.0,183961.0,44439.0,22217.0,35627.0,371761.0,1126251.0
20,16263.0,791.0,4768.0,99843.0,181449.0,50177.0,22498.0,36905.0,366883.0,1119058.0
21,15556.0,354.0,4936.0,97609.0,178058.0,58458.0,21797.0,37474.0,359424.0,1161050.0
22,14483.0,296.0,5577.0,98245.0,176986.0,68629.0,22028.0,37329.0,359934.0,1235330.0
23,13160.0,296.0,7456.0,97377.0,174648.0,75983.0,22145.0,37295.0,361343.0,1253815.0
24,12626.0,296.0,8347.0,96622.0,163689.0,79645.0,15072.0,36216.0,377914.0,1291416.0
25,12487.0,94.0,9262.0,96121.0,149068.0,82021.0,6773.0,35019.0,392361.0,1324949.0
26,11973.0,1890.0,10108.0,98724.0,134260.0,83122.0,7363.0,33793.0,402534.0,1355451.0
27,13508.0,26224.0,10552.0,102277.0,121259.0,87195.0,6243.0,31479.0,411699.0,1319981.0
28,15316.0,51375.0,11005.0,106429.0,109927.0,89057.0,4300.0,28785.0,434171.0,1317946.0
29,16722.0,75550.0,11577.0,111418.0,104406.0,90190.0,3603.0,26486.0,443943.0,1287147.0
30,18061.0,79527.0,10948.0,114702.0,99656.0,88142.0,4365.0,24936.0,445128.0,1276364.0
31,18332.0,80753.0,10024.0,117042.0,98218.0,85413.0,5321.0,24059.0,436908.0,1351437.0
32,18649.0,114008.0,8880.0,116569.0,99097.0,82636.0,5443.0,23558.0,430859.0,1441091.0
33,18969.0,149395.0,9018.0,115239.0,103744.0,79542.0,5699.0,24309.0,431338.0,1456459.0
34,19470.0,165040.0,9505.0,114800.0,108160.0,75670.0,5741.0,25918.0,436774.0,1489333.0
35,18876.0,176146.0,9428.0,115782.0,111300.0,71003.0,6088.0,28395.0,434444.0,1555959.0
36,19290.0,184702.0,8821.0,116972.0,113276.0,66312.0,6687.0,30661.0,437897.0,1598080.0
37,19849.0,184942.0,9473.0,120618.0,115280.0,62954.0,5444.0,32464.0,445204.0,1655907.0
38,20144.0,184354.0,9442.0,121491.0,118256.0,61382.0,4337.0,34755.0,439024.0,1657703.0
39,19973.0,188956.0,9626.0,122543.0,122960.0,60757.0,3669.0,36808.0,433313.0,1667631.0
40,20468.0,183071.0,10678.0,125475.0,126934.0,61382.0,2302.0,37109.0,422771.0,1716311.0
41,18718.0,169891.0,11541.0,127142.0,126172.0,62422.0,4552.0,38133.0,417385.0,1644551.0
42,17948.0,155760.0,12070.0,127099.0,125585.0,64559.0,27291.0,38492.0,423322.0,1621071.0
43,16689.0,143299.0,12596.0,127305.0,125754.0,67200.0,47633.0,38687.0,417544.0,1596355.0
44,16141.0,140457.0,11917.0,126208.0,126093.0,70411.0,121165.0,38508.0,394376.0,1521088.0
45,15723.0,139986.0,12426.0,126586.0,128113.0,73440.0,132856.0,38169.0,371052.0,1458040.0
46,15743.0,117563.0,13040.0,129276.0,129282.0,79528.0,135880.0,37893.0,358341.0,1446445.0
47,15552.0,99615.0,12702.0,132813.0,127261.0,84462.0,140532.0,36854.0,348100.0,1401674.0
48,16153.0,85104.0,12964.0,136062.0,125346.0,90162.0,126539.0,34478.0,344633.0,1454731.0
49,16402.0,75227.0,13643.0,139601.0,120686.0,95365.0,120378.0,32320.0,342250.0,1505193.0
50,16941.0,66113.0,14106.0,144313.0,117599.0,101263.0,110108.0,29526.0,349781.0,1552717.0
51,17010.0,66169.0,17256.0,150290.0,114429.0,108331.0,99553.0,26811.0,371219.0,1645240.0
52,16817.0,66053.0,16828.0,155043.0,105237.0,112121.0,103872.0,24351.0,384059.0,1735053.0
53,16641.0,70223.0,17002.0,159008.0,96934.0,115931.0,109420.0,21950.0,391872.0,1817502.0
54,16653.0,81185.0,17890.0,164325.0,90983.0,122959.0,113351.0,22276.0,394821.0,1942788.0
55,16861.0,113173.0,18123.0,171551.0,88816.0,130981.0,111754.0,23535.0,383864.0,2010790.0
56,16438.0,144784.0,17885.0,179966.0,88762.0,139401.0,104685.0,25032.0,364840.0,2042676.0
57,15302.0,173196.0,18289.0,186770.0,81966.0,146998.0,65838.0,28386.0,354184.0,2079147.0
